lc,map_class,X,Y,lin_100,poly_1_1,poly_1_10,poly_2_1,poly_2_10,poly_3_1,poly_3_10,lin_1,lin_10,lin_50,poly_3_100,poly_3_50,poly_2_100,poly_2_50
crops,"2",359025,5652855.00000001,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",368744.999999998,5664045,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",374354.999999999,5658795,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",374294.999999997,5644335,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",371925.000000001,5655585,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",365415.000000003,5646885,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,3.00000,3.00000
crops,"2",347024.999999999,5650724.99999999,6.00000,2.00000,2.00000,6.00000,6.00000,6.00000,6.00000,2.00000,2.00000,2.00000,6.00000,6.00000,6.00000,6.00000
crops,"2",367455.000000003,5665695,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",364094.999999999,5660805,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",373694.999999998,5661495,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",365325.000000002,5670015,4.00000,4.00000,4.00000,2.00000,2.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,2.00000,2.00000
crops,"2",345525.000000003,5669175,2.00000,2.00000,2.00000,2.00000,4.00000,4.00000,4.00000,2.00000,2.00000,2.00000,4.00000,4.00000,2.00000,2.00000
crops,"2",367994.999999997,5654355,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",358424.999999998,5652885,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",367004.999999998,5674845,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",352724.999999998,5670225,2.00000,2.00000,2.00000,2.00000,2.00000,4.00000,4.00000,2.00000,2.00000,2.00000,4.00000,4.00000,2.00000,2.00000
crops,"2",371235.000000003,5659874.99999999,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",349694.999999999,5660895.00000001,4.00000,4.00000,4.00000,4.00000,2.00000,2.00000,2.00000,4.00000,4.00000,4.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",363494.999999999,5647365,2.00000,2.00000,2.00000,2.00000,2.00000,3.00000,3.00000,2.00000,2.00000,2.00000,3.00000,3.00000,2.00000,2.00000
crops,"2",368384.999999999,5671065,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
forest,"2",363855.000000003,5656845,3.00000,3.00000,3.00000,2.00000,2.00000,2.00000,2.00000,3.00000,3.00000,3.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",349095.000000003,5661405,4.00000,4.00000,4.00000,2.00000,2.00000,2.00000,2.00000,4.00000,4.00000,4.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",370155.000000002,5674695,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",369855.000000002,5672025,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
grassland,"2",362445,5666085,4.00000,4.00000,4.00000,2.00000,2.00000,2.00000,2.00000,4.00000,4.00000,4.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",363705.000000003,5647994.99999999,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",371415,5663085,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,7.00000,2.00000,2.00000,2.00000,7.00000,7.00000,2.00000,2.00000
crops,"2",372375.000000001,5657805,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",368144.999999998,5659065,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",365084.999999997,5648385,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",371294.999999997,5659275,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",368205.000000001,5657295,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",373365.000000001,5653395,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
forest,"2",354615.000000003,5646464.99999999,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,3.00000,2.00000,2.00000,2.00000,2.00000
